X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion
0 , 0.52 , 0.48 , 0.0 , 0.0
1 , 0.0 , 0.526316 , 0.473684 , 0.0
2 , 0.0 , 0.6 , 0.4 , 0.0
3 , 0.4375 , 0.5625 , 0.0 , 0.0
4 , 0.0 , 0.444444 , 0.0 , 0.555556
5 , 0.0 , 0.5 , 0.5 , 0.0
6 , 0.380952 , 0.619048 , 0.0 , 0.0
7 , 0.0 , 0.555556 , 0.444444 , 0.0
8 , 0.32 , 0.68 , 0.0 , 0.0
9 , 0.533333 , 0.466667 , 0.0 , 0.0
10 , 0.0 , 0.578947 , 0.421053 , 0.0
11 , 0.0 , 1.0 , 0.0 , 0.0
12 , 0.0 , 0.0 , 1.0 , 0.0
13 , 0.0 , 0.0 , 0.533333 , 0.466667
14 , 0.0 , 0.642857 , 0.0 , 0.357143
15 , 0.368421 , 0.631579 , 0.0 , 0.0
16 , 0.0 , 1.0 , 0.0 , 0.0
17 , 0.636364 , 0.0 , 0.0 , 0.363636
18 , 1.0 , 0.0 , 0.0 , 0.0
19 , 0.444444 , 0.555556 , 0.0 , 0.0
20 , 0.0 , 0.52381 , 0.0 , 0.47619
21 , 0.416667 , 0.583333 , 0.0 , 0.0
22 , 0.521739 , 0.0 , 0.0 , 0.478261
23 , 0.0 , 0.0 , 0.384615 , 0.615385
24 , 0.0 , 0.652174 , 0.0 , 0.347826
25 , 0.769231 , 0.0 , 0.0 , 0.230769
26 , 0.0 , 0.52381 , 0.47619 , 0.0
27 , 0.538462 , 0.0 , 0.0 , 0.461538
28 , 0.0 , 0.7 , 0.3 , 0.0
29 , 0.0 , 0.0 , 0.461538 , 0.538462
30 , 0.0 , 1.0 , 0.0 , 0.0
31 , 0.384615 , 0.0 , 0.0 , 0.615385
32 , 0.0 , 0.0 , 0.454545 , 0.545455
33 , 0.0 , 0.0 , 0.526316 , 0.473684
34 , 1.0 , 0.0 , 0.0 , 0.0
35 , 0.5625 , 0.0 , 0.4375 , 0.0
36 , 0.363636 , 0.0 , 0.0 , 0.636364
37 , 0.318182 , 0.681818 , 0.0 , 0.0
38 , 0.0 , 0.6 , 0.4 , 0.0
39 , 0.0 , 0.631579 , 0.368421 , 0.0
40 , 0.375 , 0.625 , 0.0 , 0.0
41 , 0.0 , 0.705882 , 0.294118 , 0.0
42 , 0.526316 , 0.0 , 0.0 , 0.473684
43 , 0.235294 , 0.764706 , 0.0 , 0.0
44 , 0.0 , 0.518519 , 0.481481 , 0.0
45 , 0.0 , 0.0 , 0.44 , 0.56
46 , 0.409091 , 0.590909 , 0.0 , 0.0
47 , 0.0 , 0.473684 , 0.0 , 0.526316
48 , 0.454545 , 0.545455 , 0.0 , 0.0
49 , 0.4375 , 0.0 , 0.5625 , 0.0
50 , 0.0 , 0.590909 , 0.409091 , 0.0
51 , 0.0 , 0.631579 , 0.368421 , 0.0
52 , 0.0 , 0.0 , 0.631579 , 0.368421
53 , 0.44 , 0.56 , 0.0 , 0.0
54 , 0.0 , 0.0 , 0.647059 , 0.352941
55 , 0.0 , 0.652174 , 0.0 , 0.347826
56 , 0.0 , 0.0 , 0.0 , 1.0
57 , 1.0 , 0.0 , 0.0 , 0.0
58 , 0.0 , 0.647059 , 0.0 , 0.352941
59 , 0.545455 , 0.0 , 0.454545 , 0.0
60 , 0.5 , 0.0 , 0.5 , 0.0
61 , 0.578947 , 0.0 , 0.0 , 0.421053
62 , 0.0 , 0.0 , 0.333333 , 0.666667
63 , 0.4 , 0.6 , 0.0 , 0.0
64 , 0.210526 , 0.789474 , 0.0 , 0.0
65 , 0.0 , 0.0 , 0.0 , 1.0
66 , 0.428571 , 0.0 , 0.571429 , 0.0
