X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion
0 , 0.0 , 0.684211 , 0.0 , 0.315789
1 , 0.0 , 0.6 , 0.0 , 0.4
2 , 0.0 , 0.52381 , 0.0 , 0.47619
3 , 0.285714 , 0.0 , 0.714286 , 0.0
4 , 0.533333 , 0.0 , 0.0 , 0.466667
5 , 0.0 , 0.636364 , 0.0 , 0.363636
6 , 0.421053 , 0.0 , 0.578947 , 0.0
7 , 0.0 , 0.0 , 0.0 , 1.0
8 , 0.0 , 0.0 , 1.0 , 0.0
9 , 0.0 , 0.0 , 1.0 , 0.0
10 , 0.0 , 0.52 , 0.48 , 0.0
11 , 0.411765 , 0.588235 , 0.0 , 0.0
12 , 0.333333 , 0.666667 , 0.0 , 0.0
13 , 0.0 , 0.0 , 0.0 , 1.0
14 , 0.0 , 0.0 , 1.0 , 0.0
15 , 0.0 , 0.0 , 0.52381 , 0.47619
16 , 0.0 , 0.636364 , 0.0 , 0.363636
17 , 0.0 , 0.608696 , 0.0 , 0.391304
18 , 0.0 , 0.473684 , 0.526316 , 0.0
19 , 0.380952 , 0.619048 , 0.0 , 0.0
20 , 0.0 , 0.761905 , 0.0 , 0.238095
21 , 0.3125 , 0.0 , 0.6875 , 0.0
22 , 0.0 , 0.0 , 0.0 , 1.0
23 , 0.0 , 0.0 , 0.411765 , 0.588235
24 , 0.545455 , 0.0 , 0.454545 , 0.0
25 , 0.4 , 0.6 , 0.0 , 0.0
26 , 0.307692 , 0.0 , 0.692308 , 0.0
27 , 0.0 , 0.0 , 0.0 , 1.0
28 , 0.0 , 0.0 , 1.0 , 0.0
29 , 0.0 , 1.0 , 0.0 , 0.0
30 , 0.545455 , 0.0 , 0.0 , 0.454545
31 , 0.0 , 0.0 , 0.588235 , 0.411765
32 , 1.0 , 0.0 , 0.0 , 0.0
33 , 0.0 , 0.5 , 0.5 , 0.0
34 , 0.538462 , 0.0 , 0.0 , 0.461538
35 , 0.0 , 0.0 , 1.0 , 0.0
36 , 0.434783 , 0.565217 , 0.0 , 0.0
37 , 0.0 , 0.0 , 0.5 , 0.5
38 , 0.416667 , 0.0 , 0.0 , 0.583333
39 , 0.0 , 0.0 , 0.0 , 1.0
40 , 0.458333 , 0.0 , 0.0 , 0.541667
41 , 0.0 , 0.65 , 0.35 , 0.0
42 , 0.0 , 0.0 , 0.0 , 1.0
43 , 0.473684 , 0.0 , 0.526316 , 0.0
44 , 0.0 , 1.0 , 0.0 , 0.0
45 , 0.0 , 0.5 , 0.0 , 0.5
46 , 0.55 , 0.0 , 0.45 , 0.0
47 , 0.48 , 0.52 , 0.0 , 0.0
48 , 0.45 , 0.0 , 0.0 , 0.55
49 , 1.0 , 0.0 , 0.0 , 0.0
50 , 0.0 , 0.578947 , 0.421053 , 0.0
51 , 0.0 , 0.0 , 0.0 , 1.0
52 , 0.454545 , 0.0 , 0.545455 , 0.0
53 , 0.0 , 1.0 , 0.0 , 0.0
54 , 0.0 , 0.0 , 1.0 , 0.0
55 , 0.0 , 1.0 , 0.0 , 0.0
56 , 0.272727 , 0.0 , 0.727273 , 0.0
57 , 0.0 , 0.5625 , 0.0 , 0.4375
58 , 0.0 , 0.0 , 0.6 , 0.4
59 , 0.0 , 0.0 , 0.0 , 1.0
60 , 0.529412 , 0.0 , 0.0 , 0.470588
61 , 0.0 , 0.0 , 1.0 , 0.0
62 , 0.0 , 0.0 , 0.0 , 1.0
63 , 0.0 , 0.5 , 0.5 , 0.0
64 , 0.0 , 0.578947 , 0.421053 , 0.0
65 , 0.0 , 0.0 , 0.0 , 1.0
66 , 0.368421 , 0.631579 , 0.0 , 0.0
67 , 1.0 , 0.0 , 0.0 , 0.0
68 , 0.421053 , 0.0 , 0.0 , 0.578947
69 , 0.0 , 0.0 , 0.45 , 0.55
70 , 0.458333 , 0.0 , 0.541667 , 0.0
71 , 0.0 , 0.75 , 0.25 , 0.0
72 , 0.478261 , 0.0 , 0.521739 , 0.0
73 , 0.0 , 0.0 , 1.0 , 0.0
74 , 0.307692 , 0.692308 , 0.0 , 0.0
75 , 1.0 , 0.0 , 0.0 , 0.0
76 , 0.4 , 0.6 , 0.0 , 0.0
77 , 0.52381 , 0.47619 , 0.0 , 0.0
78 , 0.0 , 1.0 , 0.0 , 0.0
79 , 0.0 , 0.45 , 0.55 , 0.0
80 , 0.0 , 0.722222 , 0.277778 , 0.0
81 , 0.0 , 1.0 , 0.0 , 0.0
82 , 0.769231 , 0.0 , 0.230769 , 0.0
83 , 0.0 , 0.0 , 0.0 , 1.0
84 , 0.428571 , 0.0 , 0.0 , 0.571429
85 , 0.333333 , 0.666667 , 0.0 , 0.0
86 , 0.0 , 1.0 , 0.0 , 0.0
87 , 0.0 , 1.0 , 0.0 , 0.0
88 , 1.0 , 0.0 , 0.0 , 0.0
89 , 0.444444 , 0.0 , 0.555556 , 0.0
90 , 0.0 , 0.6 , 0.0 , 0.4
91 , 0.0 , 0.0 , 0.0 , 1.0
92 , 0.5 , 0.0 , 0.0 , 0.5
93 , 0.0 , 0.0 , 0.473684 , 0.526316
94 , 0.380952 , 0.0 , 0.0 , 0.619048
95 , 1.0 , 0.0 , 0.0 , 0.0
96 , 0.5 , 0.0 , 0.5 , 0.0
97 , 0.0 , 0.0 , 0.5625 , 0.4375
98 , 0.421053 , 0.578947 , 0.0 , 0.0
99 , 0.0 , 0.0 , 0.833333 , 0.166667
100 , 0.0 , 0.0 , 1.0 , 0.0
101 , 0.0 , 0.636364 , 0.0 , 0.363636
102 , 0.5 , 0.0 , 0.0 , 0.5
103 , 0.0 , 1.0 , 0.0 , 0.0
104 , 0.3 , 0.0 , 0.0 , 0.7
105 , 0.0 , 0.55 , 0.0 , 0.45
106 , 0.0 , 0.625 , 0.0 , 0.375
107 , 0.0 , 0.473684 , 0.0 , 0.526316
108 , 0.0 , 1.0 , 0.0 , 0.0
109 , 0.5 , 0.0 , 0.0 , 0.5
110 , 0.0 , 0.592593 , 0.0 , 0.407407
111 , 0.533333 , 0.0 , 0.466667 , 0.0
112 , 0.0 , 0.0 , 0.727273 , 0.272727
113 , 0.0 , 0.0 , 0.666667 , 0.333333
114 , 0.0 , 0.571429 , 0.0 , 0.428571
115 , 0.0 , 0.0 , 1.0 , 0.0
116 , 0.619048 , 0.0 , 0.0 , 0.380952
117 , 0.6 , 0.0 , 0.0 , 0.4
118 , 0.0 , 0.545455 , 0.454545 , 0.0
119 , 0.0 , 0.473684 , 0.526316 , 0.0
120 , 0.466667 , 0.0 , 0.533333 , 0.0
121 , 0.0 , 0.0 , 1.0 , 0.0
122 , 1.0 , 0.0 , 0.0 , 0.0
123 , 0.0 , 0.0 , 0.0 , 1.0
124 , 0.0 , 0.0 , 0.7 , 0.3
125 , 0.0 , 0.0 , 0.0 , 1.0
126 , 0.55 , 0.0 , 0.0 , 0.45
127 , 0.0 , 0.592593 , 0.407407 , 0.0
128 , 0.444444 , 0.0 , 0.555556 , 0.0
129 , 0.5 , 0.0 , 0.0 , 0.5
130 , 0.428571 , 0.571429 , 0.0 , 0.0
131 , 0.684211 , 0.0 , 0.0 , 0.315789
132 , 0.0 , 0.0 , 0.0 , 1.0
133 , 0.0 , 0.590909 , 0.0 , 0.409091
134 , 0.0 , 0.0 , 0.55 , 0.45
135 , 0.0 , 0.521739 , 0.478261 , 0.0
136 , 0.0 , 0.0 , 0.666667 , 0.333333
137 , 0.0 , 0.0 , 0.0 , 1.0
138 , 0.0 , 0.0 , 0.0 , 1.0
139 , 0.611111 , 0.0 , 0.0 , 0.388889
140 , 0.3125 , 0.6875 , 0.0 , 0.0
141 , 0.5 , 0.0 , 0.0 , 0.5
142 , 0.466667 , 0.533333 , 0.0 , 0.0
143 , 0.52381 , 0.0 , 0.0 , 0.47619
144 , 0.277778 , 0.722222 , 0.0 , 0.0
145 , 0.315789 , 0.0 , 0.684211 , 0.0
146 , 0.611111 , 0.0 , 0.388889 , 0.0
147 , 0.0 , 0.0 , 1.0 , 0.0
148 , 0.0 , 0.0 , 0.647059 , 0.352941
149 , 0.0 , 0.7 , 0.0 , 0.3
150 , 0.0 , 0.571429 , 0.0 , 0.428571
151 , 0.0 , 0.0 , 1.0 , 0.0
152 , 0.35 , 0.65 , 0.0 , 0.0
153 , 0.6 , 0.0 , 0.0 , 0.4
154 , 0.0 , 1.0 , 0.0 , 0.0
155 , 0.0 , 0.478261 , 0.521739 , 0.0
156 , 0.0 , 0.65 , 0.0 , 0.35
157 , 1.0 , 0.0 , 0.0 , 0.0
158 , 0.521739 , 0.0 , 0.478261 , 0.0
159 , 0.388889 , 0.611111 , 0.0 , 0.0
160 , 0.0 , 0.0 , 0.615385 , 0.384615
161 , 0.454545 , 0.545455 , 0.0 , 0.0
162 , 0.0 , 0.0 , 0.0 , 1.0
