X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion
0 , 0.0 , 0.35 , 0.65 , 0.0
1 , 0.0 , 0.0 , 0.0 , 1.0
2 , 0.0 , 0.0 , 0.461538 , 0.538462
3 , 0.307692 , 0.0 , 0.0 , 0.692308
4 , 0.0 , 0.0 , 0.0 , 1.0
5 , 0.529412 , 0.0 , 0.0 , 0.470588
6 , 0.5 , 0.5 , 0.0 , 0.0
7 , 0.529412 , 0.0 , 0.0 , 0.470588
8 , 0.481481 , 0.0 , 0.518519 , 0.0
9 , 0.0 , 0.583333 , 0.416667 , 0.0
10 , 0.0 , 0.0 , 0.55 , 0.45
11 , 0.0 , 1.0 , 0.0 , 0.0
12 , 0.52 , 0.48 , 0.0 , 0.0
13 , 0.578947 , 0.0 , 0.421053 , 0.0
14 , 0.0 , 0.0 , 0.526316 , 0.473684
15 , 0.0 , 0.0 , 1.0 , 0.0
16 , 0.470588 , 0.0 , 0.529412 , 0.0
17 , 0.0 , 0.0 , 0.6 , 0.4
18 , 0.368421 , 0.631579 , 0.0 , 0.0
19 , 0.571429 , 0.0 , 0.0 , 0.428571
20 , 0.0 , 0.0 , 0.578947 , 0.421053
21 , 0.0 , 1.0 , 0.0 , 0.0
22 , 0.0 , 0.75 , 0.0 , 0.25
23 , 0.5 , 0.0 , 0.0 , 0.5
24 , 0.35 , 0.65 , 0.0 , 0.0
25 , 0.0 , 0.666667 , 0.333333 , 0.0
26 , 0.47619 , 0.0 , 0.0 , 0.52381
27 , 0.375 , 0.625 , 0.0 , 0.0
28 , 1.0 , 0.0 , 0.0 , 0.0
29 , 0.388889 , 0.0 , 0.611111 , 0.0
30 , 0.0 , 0.0 , 0.0 , 1.0
31 , 0.5 , 0.0 , 0.0 , 0.5
32 , 0.0 , 0.0 , 0.666667 , 0.333333
33 , 0.0 , 0.55 , 0.0 , 0.45
34 , 0.0 , 0.0 , 0.0 , 1.0
35 , 0.0 , 0.0 , 0.52381 , 0.47619
36 , 0.0 , 0.0 , 0.55 , 0.45
37 , 0.0 , 0.0 , 0.0 , 1.0
38 , 0.333333 , 0.0 , 0.0 , 0.666667
39 , 0.0 , 0.6 , 0.4 , 0.0
40 , 0.478261 , 0.0 , 0.521739 , 0.0
41 , 0.0 , 1.0 , 0.0 , 0.0
42 , 0.571429 , 0.428571 , 0.0 , 0.0
43 , 1.0 , 0.0 , 0.0 , 0.0
44 , 0.0 , 0.65 , 0.0 , 0.35
45 , 0.56 , 0.0 , 0.0 , 0.44
46 , 0.470588 , 0.0 , 0.0 , 0.529412
47 , 0.0 , 0.545455 , 0.0 , 0.454545
48 , 0.0 , 0.0 , 1.0 , 0.0
49 , 0.0 , 1.0 , 0.0 , 0.0
50 , 0.0 , 0.0 , 0.578947 , 0.421053
51 , 0.470588 , 0.0 , 0.529412 , 0.0
52 , 1.0 , 0.0 , 0.0 , 0.0
53 , 0.380952 , 0.619048 , 0.0 , 0.0
54 , 0.666667 , 0.0 , 0.333333 , 0.0
55 , 0.384615 , 0.0 , 0.615385 , 0.0
56 , 0.0 , 0.0 , 0.526316 , 0.473684
57 , 0.0 , 1.0 , 0.0 , 0.0
58 , 0.421053 , 0.0 , 0.578947 , 0.0
59 , 1.0 , 0.0 , 0.0 , 0.0
60 , 0.0 , 1.0 , 0.0 , 0.0
61 , 0.0 , 1.0 , 0.0 , 0.0
62 , 0.0 , 0.0 , 0.526316 , 0.473684
63 , 0.45 , 0.55 , 0.0 , 0.0
64 , 0.0 , 0.0 , 1.0 , 0.0
65 , 0.45 , 0.55 , 0.0 , 0.0
66 , 0.55 , 0.0 , 0.45 , 0.0
67 , 1.0 , 0.0 , 0.0 , 0.0
68 , 1.0 , 0.0 , 0.0 , 0.0
69 , 0.470588 , 0.529412 , 0.0 , 0.0
70 , 0.35 , 0.65 , 0.0 , 0.0
71 , 0.0 , 0.0 , 0.368421 , 0.631579
72 , 0.409091 , 0.590909 , 0.0 , 0.0
73 , 0.0 , 0.0 , 0.529412 , 0.470588
74 , 0.529412 , 0.0 , 0.0 , 0.470588
75 , 0.0 , 0.0 , 0.0 , 1.0
76 , 0.0 , 0.409091 , 0.0 , 0.590909
77 , 0.0 , 0.444444 , 0.0 , 0.555556
78 , 0.0 , 0.0 , 0.0 , 1.0
79 , 0.0 , 0.0 , 0.0 , 1.0
80 , 0.409091 , 0.590909 , 0.0 , 0.0
81 , 0.5 , 0.5 , 0.0 , 0.0
82 , 0.0 , 0.565217 , 0.0 , 0.434783
83 , 0.0 , 0.0 , 0.473684 , 0.526316
84 , 0.0 , 0.0 , 0.0 , 1.0
85 , 0.0 , 0.458333 , 0.541667 , 0.0
86 , 0.0 , 0.590909 , 0.0 , 0.409091
87 , 0.0 , 0.0 , 0.0 , 1.0
88 , 0.4375 , 0.0 , 0.5625 , 0.0
89 , 0.45 , 0.55 , 0.0 , 0.0
90 , 0.5 , 0.0 , 0.0 , 0.5
91 , 0.0 , 0.526316 , 0.0 , 0.473684
92 , 0.0 , 0.551724 , 0.448276 , 0.0
93 , 0.0 , 1.0 , 0.0 , 0.0
94 , 0.0 , 0.47619 , 0.0 , 0.52381
95 , 0.0 , 0.5 , 0.5 , 0.0
96 , 0.0 , 0.736842 , 0.263158 , 0.0
97 , 0.473684 , 0.0 , 0.526316 , 0.0
98 , 0.0 , 0.529412 , 0.0 , 0.470588
99 , 0.0 , 0.625 , 0.0 , 0.375
100 , 0.266667 , 0.0 , 0.733333 , 0.0
101 , 0.0 , 0.666667 , 0.0 , 0.333333
102 , 0.5 , 0.0 , 0.0 , 0.5
103 , 0.294118 , 0.705882 , 0.0 , 0.0
104 , 0.176471 , 0.823529 , 0.0 , 0.0
105 , 0.55 , 0.45 , 0.0 , 0.0
106 , 0.5 , 0.5 , 0.0 , 0.0
107 , 0.0 , 0.0 , 0.0 , 1.0
108 , 0.0 , 0.565217 , 0.0 , 0.434783
109 , 0.416667 , 0.0 , 0.583333 , 0.0
110 , 0.636364 , 0.0 , 0.0 , 0.363636
111 , 0.368421 , 0.0 , 0.0 , 0.631579
112 , 1.0 , 0.0 , 0.0 , 0.0
113 , 0.47619 , 0.0 , 0.0 , 0.52381
114 , 0.533333 , 0.0 , 0.0 , 0.466667
115 , 0.0 , 0.0 , 0.666667 , 0.333333
116 , 0.0 , 0.555556 , 0.0 , 0.444444
117 , 0.538462 , 0.0 , 0.461538 , 0.0
118 , 0.0 , 1.0 , 0.0 , 0.0
119 , 0.0 , 0.625 , 0.0 , 0.375
120 , 0.470588 , 0.0 , 0.0 , 0.529412
121 , 0.368421 , 0.0 , 0.0 , 0.631579
122 , 0.0 , 0.608696 , 0.0 , 0.391304
123 , 0.0 , 0.458333 , 0.0 , 0.541667
124 , 0.0 , 0.6 , 0.4 , 0.0
125 , 0.0 , 0.578947 , 0.0 , 0.421053
126 , 0.0 , 0.590909 , 0.409091 , 0.0
127 , 0.285714 , 0.0 , 0.714286 , 0.0
128 , 0.0 , 0.517241 , 0.482759 , 0.0
129 , 0.352941 , 0.0 , 0.0 , 0.647059
130 , 0.384615 , 0.0 , 0.0 , 0.615385
131 , 0.0 , 0.0 , 1.0 , 0.0
132 , 0.0 , 0.55 , 0.45 , 0.0
133 , 0.0 , 0.6 , 0.4 , 0.0
134 , 0.5 , 0.0 , 0.0 , 0.5
135 , 0.0 , 1.0 , 0.0 , 0.0
136 , 0.4375 , 0.0 , 0.0 , 0.5625
137 , 0.470588 , 0.0 , 0.0 , 0.529412
138 , 0.555556 , 0.0 , 0.0 , 0.444444
139 , 1.0 , 0.0 , 0.0 , 0.0
140 , 0.0 , 0.0 , 1.0 , 0.0
141 , 0.0 , 0.6 , 0.4 , 0.0
142 , 0.0 , 1.0 , 0.0 , 0.0
143 , 0.428571 , 0.0 , 0.0 , 0.571429
144 , 0.0 , 0.565217 , 0.0 , 0.434783
145 , 0.0 , 0.0 , 0.5 , 0.5
146 , 0.0 , 0.0 , 0.631579 , 0.368421
147 , 0.0 , 0.5 , 0.5 , 0.0
148 , 0.0 , 1.0 , 0.0 , 0.0
149 , 0.0 , 0.0 , 0.541667 , 0.458333
150 , 0.0 , 0.0 , 1.0 , 0.0
151 , 0.0 , 1.0 , 0.0 , 0.0
152 , 0.666667 , 0.0 , 0.0 , 0.333333
153 , 1.0 , 0.0 , 0.0 , 0.0
154 , 0.0 , 0.64 , 0.36 , 0.0
155 , 0.0 , 0.0 , 0.0 , 1.0
156 , 0.0 , 1.0 , 0.0 , 0.0
157 , 0.0 , 0.615385 , 0.0 , 0.384615
158 , 0.333333 , 0.666667 , 0.0 , 0.0
159 , 1.0 , 0.0 , 0.0 , 0.0
160 , 0.0 , 0.0 , 1.0 , 0.0
161 , 0.0 , 0.75 , 0.0 , 0.25
162 , 0.333333 , 0.0 , 0.666667 , 0.0
163 , 0.555556 , 0.0 , 0.0 , 0.444444
164 , 0.416667 , 0.583333 , 0.0 , 0.0
165 , 0.0 , 1.0 , 0.0 , 0.0
166 , 0.0 , 0.0 , 1.0 , 0.0
167 , 0.0 , 0.458333 , 0.541667 , 0.0
168 , 0.0 , 0.444444 , 0.555556 , 0.0
169 , 0.6 , 0.4 , 0.0 , 0.0
170 , 0.541667 , 0.0 , 0.458333 , 0.0
171 , 0.545455 , 0.0 , 0.0 , 0.454545
172 , 1.0 , 0.0 , 0.0 , 0.0
173 , 0.0 , 0.647059 , 0.352941 , 0.0
174 , 0.0 , 0.0 , 0.5 , 0.5
175 , 0.461538 , 0.0 , 0.0 , 0.538462
176 , 0.0 , 0.0 , 0.0 , 1.0
177 , 0.0 , 0.571429 , 0.0 , 0.428571
178 , 0.0 , 0.0 , 0.0 , 1.0
179 , 0.434783 , 0.565217 , 0.0 , 0.0
180 , 0.0 , 0.625 , 0.0 , 0.375
