X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
126 , 0.294118 , 0.0 , 0.176471 , 0.0588235 , 0.0588235 , 0.294118 , 0.0 , 0.117647
127 , 0.173913 , 0.0 , 0.304348 , 0.130435 , 0.130435 , 0.0 , 0.0869565 , 0.173913
128 , 0.259259 , 0.148148 , 0.296296 , 0.111111 , 0.0 , 0.037037 , 0.0740741 , 0.0740741
129 , 0.272727 , 0.181818 , 0.0 , 0.272727 , 0.0 , 0.0 , 0.181818 , 0.0909091
130 , 0.133333 , 0.266667 , 0.0333333 , 0.133333 , 0.0 , 0.133333 , 0.0 , 0.3
131 , 0.266667 , 0.0 , 0.2 , 0.0 , 0.0666667 , 0.0 , 0.266667 , 0.2
132 , 0.25 , 0.416667 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.333333
133 , 0.153846 , 0.153846 , 0.0769231 , 0.0 , 0.0769231 , 0.307692 , 0.153846 , 0.0769231
134 , 0.0 , 0.0 , 0.0909091 , 0.0 , 0.545455 , 0.0 , 0.0 , 0.363636
135 , 0.3125 , 0.0625 , 0.3125 , 0.0 , 0.25 , 0.0 , 0.0 , 0.0625
136 , 0.181818 , 0.227273 , 0.0909091 , 0.0 , 0.0 , 0.136364 , 0.0 , 0.363636
137 , 0.166667 , 0.333333 , 0.0 , 0.166667 , 0.0833333 , 0.0833333 , 0.0833333 , 0.0833333
138 , 0.333333 , 0.0 , 0.380952 , 0.047619 , 0.047619 , 0.0 , 0.047619 , 0.142857
139 , 0.25 , 0.05 , 0.1 , 0.15 , 0.1 , 0.0 , 0.15 , 0.2
140 , 0.214286 , 0.0714286 , 0.5 , 0.0 , 0.0 , 0.0714286 , 0.0714286 , 0.0714286
141 , 0.285714 , 0.0952381 , 0.047619 , 0.047619 , 0.0952381 , 0.0952381 , 0.285714 , 0.047619
142 , 0.12 , 0.12 , 0.12 , 0.0 , 0.12 , 0.12 , 0.0 , 0.4
143 , 0.210526 , 0.157895 , 0.0526316 , 0.0526316 , 0.0 , 0.157895 , 0.0 , 0.368421
144 , 0.0 , 0.0625 , 0.4375 , 0.1875 , 0.0625 , 0.125 , 0.0 , 0.125
145 , 0.136364 , 0.227273 , 0.0909091 , 0.0 , 0.363636 , 0.0454545 , 0.0 , 0.136364
146 , 0.285714 , 0.571429 , 0.0 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.0
147 , 0.277778 , 0.0555556 , 0.111111 , 0.0555556 , 0.111111 , 0.0555556 , 0.0 , 0.333333
148 , 0.05 , 0.1 , 0.1 , 0.05 , 0.0 , 0.1 , 0.0 , 0.6
149 , 0.35 , 0.0 , 0.0 , 0.05 , 0.05 , 0.05 , 0.0 , 0.5
150 , 0.0 , 0.357143 , 0.142857 , 0.0714286 , 0.142857 , 0.0 , 0.0 , 0.285714
151 , 0.363636 , 0.136364 , 0.0 , 0.136364 , 0.0454545 , 0.0 , 0.181818 , 0.136364
152 , 0.1 , 0.0 , 0.0 , 0.0 , 0.1 , 0.3 , 0.0 , 0.5
153 , 0.318182 , 0.181818 , 0.0 , 0.0454545 , 0.0 , 0.227273 , 0.181818 , 0.0454545
154 , 0.538462 , 0.0 , 0.0 , 0.0769231 , 0.0 , 0.0 , 0.0769231 , 0.307692
155 , 0.888889 , 0.0 , 0.0 , 0.0 , 0.0 , 0.111111 , 0.0 , 0.0
156 , 0.454545 , 0.0 , 0.454545 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0909091
157 , 0.4 , 0.05 , 0.1 , 0.0 , 0.0 , 0.1 , 0.15 , 0.2
158 , 0.222222 , 0.388889 , 0.111111 , 0.0555556 , 0.0 , 0.111111 , 0.0 , 0.111111
159 , 0.142857 , 0.0714286 , 0.0714286 , 0.0 , 0.0714286 , 0.142857 , 0.0 , 0.5
160 , 0.375 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25 , 0.375
161 , 0.181818 , 0.0 , 0.545455 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.181818
162 , 0.0 , 0.533333 , 0.0 , 0.133333 , 0.0 , 0.0 , 0.0666667 , 0.266667
163 , 0.181818 , 0.0 , 0.0 , 0.136364 , 0.0454545 , 0.272727 , 0.227273 , 0.136364
164 , 0.1 , 0.0 , 0.55 , 0.1 , 0.0 , 0.1 , 0.0 , 0.15
165 , 0.153846 , 0.461538 , 0.0 , 0.0 , 0.0 , 0.0769231 , 0.307692 , 0.0
166 , 0.0833333 , 0.0833333 , 0.166667 , 0.166667 , 0.0 , 0.0833333 , 0.0833333 , 0.333333
167 , 0.428571 , 0.214286 , 0.0 , 0.285714 , 0.0714286 , 0.0 , 0.0 , 0.0
168 , 0.0 , 0.0 , 0.384615 , 0.0769231 , 0.0 , 0.0769231 , 0.0 , 0.461538
169 , 0.238095 , 0.0952381 , 0.0952381 , 0.142857 , 0.0 , 0.142857 , 0.0 , 0.285714
170 , 0.764706 , 0.0588235 , 0.0 , 0.0 , 0.0 , 0.0 , 0.117647 , 0.0588235
171 , 0.0 , 0.545455 , 0.0 , 0.0909091 , 0.0 , 0.0909091 , 0.0909091 , 0.181818
172 , 0.705882 , 0.0 , 0.117647 , 0.0 , 0.0 , 0.0 , 0.0 , 0.176471
173 , 0.35 , 0.15 , 0.0 , 0.05 , 0.0 , 0.25 , 0.0 , 0.2
174 , 0.230769 , 0.0 , 0.230769 , 0.0769231 , 0.0 , 0.0769231 , 0.0 , 0.384615
175 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
176 , 0.0769231 , 0.230769 , 0.384615 , 0.0 , 0.0769231 , 0.0 , 0.153846 , 0.0769231
177 , 0.368421 , 0.315789 , 0.0526316 , 0.0 , 0.0526316 , 0.0526316 , 0.0526316 , 0.105263
178 , 0.454545 , 0.0 , 0.0909091 , 0.0 , 0.0909091 , 0.0 , 0.363636 , 0.0
179 , 0.25 , 0.0 , 0.0833333 , 0.0 , 0.0 , 0.25 , 0.0 , 0.416667
180 , 0.137931 , 0.0344828 , 0.37931 , 0.103448 , 0.0344828 , 0.0 , 0.172414 , 0.137931
181 , 0.0 , 0.333333 , 0.0833333 , 0.0 , 0.0 , 0.0833333 , 0.0833333 , 0.416667
182 , 0.4 , 0.2 , 0.0666667 , 0.0 , 0.0666667 , 0.0 , 0.0 , 0.266667
183 , 0.307692 , 0.0769231 , 0.307692 , 0.0 , 0.0 , 0.0769231 , 0.0769231 , 0.153846
184 , 0.5 , 0.0 , 0.0 , 0.0 , 0.333333 , 0.166667 , 0.0 , 0.0
185 , 0.466667 , 0.2 , 0.0 , 0.0666667 , 0.0 , 0.0 , 0.0 , 0.266667
186 , 0.315789 , 0.157895 , 0.263158 , 0.0 , 0.0 , 0.0 , 0.0 , 0.263158
187 , 0.125 , 0.0625 , 0.0 , 0.0 , 0.0 , 0.0625 , 0.375 , 0.375
188 , 0.0 , 0.181818 , 0.181818 , 0.181818 , 0.181818 , 0.0 , 0.0 , 0.272727
189 , 0.0526316 , 0.210526 , 0.210526 , 0.263158 , 0.0526316 , 0.0526316 , 0.0 , 0.157895
190 , 0.272727 , 0.136364 , 0.0 , 0.136364 , 0.0 , 0.0454545 , 0.0 , 0.409091
191 , 0.461538 , 0.0 , 0.307692 , 0.0 , 0.153846 , 0.0 , 0.0769231 , 0.0
192 , 0.235294 , 0.235294 , 0.0588235 , 0.0 , 0.0588235 , 0.176471 , 0.0 , 0.235294
193 , 0.0 , 0.333333 , 0.166667 , 0.0 , 0.0 , 0.0833333 , 0.0 , 0.416667
194 , 0.0 , 0.266667 , 0.0 , 0.0 , 0.4 , 0.0 , 0.133333 , 0.2
195 , 0.0666667 , 0.0 , 0.0 , 0.0 , 0.2 , 0.0 , 0.0 , 0.733333
196 , 0.047619 , 0.428571 , 0.190476 , 0.0952381 , 0.0 , 0.047619 , 0.0 , 0.190476
197 , 0.4 , 0.0 , 0.1 , 0.0 , 0.0 , 0.0 , 0.3 , 0.2
198 , 0.1875 , 0.0625 , 0.1875 , 0.1875 , 0.0 , 0.0 , 0.0625 , 0.3125
199 , 0.2 , 0.0 , 0.3 , 0.1 , 0.0 , 0.0 , 0.1 , 0.3
200 , 0.0 , 0.222222 , 0.333333 , 0.111111 , 0.0 , 0.111111 , 0.0 , 0.222222
201 , 0.333333 , 0.0 , 0.25 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.25
202 , 0.0909091 , 0.181818 , 0.0 , 0.0 , 0.363636 , 0.0909091 , 0.0 , 0.272727
203 , 0.444444 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.555556
204 , 0.0714286 , 0.285714 , 0.214286 , 0.0714286 , 0.142857 , 0.0714286 , 0.0 , 0.142857
205 , 0.2 , 0.1 , 0.2 , 0.2 , 0.1 , 0.0 , 0.0 , 0.2
206 , 0.272727 , 0.0909091 , 0.0 , 0.181818 , 0.0 , 0.0 , 0.0 , 0.454545
207 , 0.4 , 0.2 , 0.0 , 0.2 , 0.0 , 0.0 , 0.0 , 0.2
208 , 0.111111 , 0.111111 , 0.0 , 0.111111 , 0.111111 , 0.0 , 0.111111 , 0.444444
209 , 0.375 , 0.0 , 0.1875 , 0.125 , 0.1875 , 0.0 , 0.0 , 0.125
210 , 0.157895 , 0.0526316 , 0.315789 , 0.105263 , 0.0 , 0.0 , 0.0526316 , 0.315789
211 , 0.222222 , 0.0555556 , 0.277778 , 0.0555556 , 0.111111 , 0.222222 , 0.0 , 0.0555556
212 , 0.4 , 0.2 , 0.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.1
213 , 0.190476 , 0.190476 , 0.047619 , 0.0 , 0.0 , 0.0952381 , 0.0 , 0.47619
214 , 0.25 , 0.125 , 0.0 , 0.125 , 0.0625 , 0.0 , 0.1875 , 0.25
215 , 0.733333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0666667 , 0.2
216 , 0.142857 , 0.0 , 0.214286 , 0.0 , 0.214286 , 0.0 , 0.0 , 0.428571
217 , 0.166667 , 0.0833333 , 0.25 , 0.166667 , 0.166667 , 0.0 , 0.0 , 0.166667
218 , 0.375 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.625
219 , 0.555556 , 0.222222 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.222222
220 , 0.333333 , 0.0555556 , 0.222222 , 0.0 , 0.0 , 0.0 , 0.222222 , 0.166667
221 , 0.375 , 0.0625 , 0.0 , 0.0 , 0.1875 , 0.0 , 0.0625 , 0.3125
222 , 0.181818 , 0.181818 , 0.0 , 0.181818 , 0.0 , 0.0 , 0.0909091 , 0.363636
223 , 0.111111 , 0.0 , 0.0 , 0.0 , 0.0555556 , 0.111111 , 0.333333 , 0.388889
224 , 0.0 , 0.0 , 0.4 , 0.0 , 0.4 , 0.0 , 0.0 , 0.2
225 , 0.176471 , 0.235294 , 0.0 , 0.117647 , 0.176471 , 0.0 , 0.0 , 0.294118
226 , 0.166667 , 0.166667 , 0.166667 , 0.0 , 0.25 , 0.166667 , 0.0 , 0.0833333
227 , 0.25 , 0.0625 , 0.1875 , 0.1875 , 0.0 , 0.0 , 0.0625 , 0.25
228 , 0.458333 , 0.0 , 0.0833333 , 0.0 , 0.0416667 , 0.208333 , 0.0416667 , 0.166667
229 , 0.148148 , 0.0 , 0.259259 , 0.185185 , 0.0 , 0.0740741 , 0.222222 , 0.111111
230 , 0.25 , 0.0 , 0.0 , 0.0 , 0.125 , 0.0 , 0.625 , 0.0
231 , 0.285714 , 0.0714286 , 0.214286 , 0.214286 , 0.0 , 0.0 , 0.0714286 , 0.142857
232 , 0.176471 , 0.117647 , 0.294118 , 0.0588235 , 0.0 , 0.0 , 0.117647 , 0.235294
233 , 0.157895 , 0.210526 , 0.0 , 0.157895 , 0.0526316 , 0.0 , 0.0526316 , 0.368421
234 , 0.6 , 0.0666667 , 0.133333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.2
235 , 0.2 , 0.0666667 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.0666667 , 0.333333
236 , 0.176471 , 0.117647 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.705882
237 , 0.0 , 0.0 , 0.583333 , 0.0 , 0.0 , 0.0 , 0.0833333 , 0.333333
238 , 0.5 , 0.25 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25
239 , 0.272727 , 0.0 , 0.0454545 , 0.0 , 0.0 , 0.0454545 , 0.0454545 , 0.590909
240 , 0.35 , 0.05 , 0.3 , 0.1 , 0.15 , 0.0 , 0.0 , 0.05
241 , 0.157895 , 0.105263 , 0.263158 , 0.0526316 , 0.105263 , 0.0 , 0.0526316 , 0.263158
242 , 0.583333 , 0.25 , 0.0 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.0
243 , 0.25 , 0.166667 , 0.166667 , 0.0833333 , 0.25 , 0.0 , 0.0 , 0.0833333
244 , 0.107143 , 0.285714 , 0.142857 , 0.0 , 0.214286 , 0.107143 , 0.0 , 0.142857
245 , 0.0 , 0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.5
246 , 0.444444 , 0.111111 , 0.0 , 0.0 , 0.0 , 0.111111 , 0.111111 , 0.222222
247 , 0.111111 , 0.333333 , 0.0 , 0.0 , 0.333333 , 0.0 , 0.0 , 0.222222
248 , 0.166667 , 0.111111 , 0.166667 , 0.166667 , 0.0 , 0.0 , 0.166667 , 0.222222
249 , 0.333333 , 0.0 , 0.166667 , 0.0 , 0.166667 , 0.0 , 0.0 , 0.333333
250 , 0.318182 , 0.181818 , 0.0 , 0.0454545 , 0.0909091 , 0.0454545 , 0.0 , 0.318182
251 , 0.227273 , 0.181818 , 0.181818 , 0.0 , 0.0454545 , 0.0 , 0.0909091 , 0.272727
252 , 0.272727 , 0.0 , 0.181818 , 0.272727 , 0.181818 , 0.0909091 , 0.0 , 0.0
253 , 0.416667 , 0.0833333 , 0.25 , 0.166667 , 0.0 , 0.0 , 0.0 , 0.0833333
254 , 0.285714 , 0.0 , 0.0 , 0.0 , 0.214286 , 0.142857 , 0.357143 , 0.0
255 , 0.538462 , 0.0769231 , 0.0769231 , 0.0 , 0.0769231 , 0.0 , 0.0 , 0.230769
